Comment,Label
Me!,neutral
listing still after 8 years still a great song,positive
the voice of the century.....,positive
Still listening.... 2024....,neutral
Still a banger in 2024❤,positive
,neutral
Nevy,neutral
Me .👈,neutral
Adele mirrors ❤❤,positive
Sex❤,positive
Look❤❤,positive
Look😊,positive
I call tomorrow 😊,positive
Who is listening to this now ??,neutral
"March 2, 2024, is anyone alive?
Go by city!?
Tobolsk",neutral
We still love this song even when time passes ❤❤❤,positive
"7,862,943,654 views in 23 years?! Finally, the whole planet has heard this song!🎉",positive
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing

Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side

I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)

Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart

But it don't matter, it clearly doesn't tear you apart anymore",negative
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing

Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side

I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)

Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart

But it don't matter, it clearly doesn't tear you apart anymore",negative
"Ah, imagine her singing this while Neil Diamond sings his ""Hello"". Battle of the Bands, Baby!",positive
"Somebody's wishing this many views they also made $18 for every CD. 

Or $4 for each 8-track, if you're into that.",neutral
Who's here back in 1945?,neutral
Anyone else listening to this masterpiece in 2024💯💥❤️‍🔥,positive
Tran Thi Tra My,neutral
you make two valves 555u>??,neutral
Sally from Cameroon is listening in 2024,neutral
I was asked to translate something like that,neutral
Who is listening in 2024?,neutral
Hello 😢,negative
PIC 💱❤be nice,positive
Hello is free,neutral
Hello from the other side of the world to whoever is listening 🙏❤,positive
"Man,this girl has talent! And she's got pipes!",positive
"I'm drunk but not too much, but because of how this song hit me, i aint gonna pick up her calls no more. I'm fed up and tired sos imma try to move on and find someone else who i can see in person again, hold in my arms and love. I'll make her feel the pain she made me feel, make her confused and guessing the way she did to me. I'm done with her and her complicated life but at least I can that i tried",negative
"When this came out I was homeless, on drugs, and then jail. Now I have a house, job, and husband. This song and “Clover Cage - Heart Of A City Boy” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕",positive
,neutral
"as cheap as possible, but cool bitch! IN 50 ROOM!)",positive
2024 and I still hear it 😂❤,positive
Shame in America now,negative
Hard times,negative
2024 molds,neutral
"Through the Heart of Jesus, let us pray for the repentance of Russia and peace in the world, please ❣️",positive
"Its March 2024, let's see how many legends are listening to this incredible song💙",positive
"Hello, now it’s 2024 and watching this clip, years later, I cried... She, she’s magnificent, she sings that we are all human and we are alive.❤❤❤❤❤❤",positive
Always 🤍🤍🤍,positive
Hello how are you,neutral
❤🇮🇶 2024/2/1,neutral
and I listen to this masterpiece again,positive
time someone likes this comment I get a notification and I listen to this masterpiece again,positive
JUST. PURE. TALENT. Truly deserved.,positive
Adele didn't need promotions. No countdown.,positive
,neutral
YOU ARE GOING TO FUCKING PRISON!,negative
Hello,neutral
it hits different after loosing the love of your life,negative
"Hello it's me , protect ❤",positive
Adele is amazing! Still listening in 2024:),positive
Absolutely timeless.😊 Beauty personified in frequency. ❤❤👍🏴󠁧󠁢󠁥󠁮󠁧󠁿,positive
"😮 to say Nice GENTLEMAN 👌
3D Raju Raja Raja RAM 😢",positive
March 1st 2024? Anyone here 👋🏽,neutral
Fannn...,neutral
HELLO.... It's March 2024 let's sets who still listens to THIS SONG,neutral
This song is one of my favorites song,positive
Hello my love song,positive
Comp,neutral
You arre beautiful!,positive
It sucks,negative
"""TELEPHONE"" (gaga) ring ring - ""HELLO"" (adele)   ""WHATS GOING ON""?  (4non blondes)",neutral
Hi,neutral
❤ Brazil 🇧🇷 2024...,positive
God given voice,positive
I just search hello not the song😂,neutral
I hope you truly know what a gift you have-Your talent is extraordinary Adele-Stacy Ryan,positive
"This is the absolute zenith of female musicality. No female singer has ever equaled or surpassed this benchmark. Remarkably, only a white woman could have achieved this miracle. Just stating the obvious.",negative
Best ever song made ❤,positive
The best,positive
Who’s here in 2024 march 😂🎉,positive
I play this often ❤,positive
A little slow piano 🎹 and amazing voice of Adele I love to put it in my songs of summer 🌞 music.,positive
who listening in 2025,neutral
Dogwood treple Pley s une tu DHA lef an tuo. Tu. DHA Ray.,neutral
Me,neutral
It's smart I think.,positive
#Learnt by doing,positive
#Learn by doing,positive
2024,neutral
I feel depression 😪,negative
I❤️this song so much ❤️❤️❤️❤️,positive
Say goodbye to you guys.....you really bought me ..kakkaka,positive
Who is addicted to this master piece 😢???,positive
I am a beautiful day hello husband king how are you looking for a few days ago after that God knows what the problem is that the new year to you really God knows baby am just a full be long before the end of the day of my life and everyday dancing with your ghost of the day of the day of the day of the day of my life and I will be able to get the best way to get the best way to get the best way to get the best way to get the best way to get the bleeding and I will be able to get the best way to get the cheapest prices on the,neutral
"When I always hear this song I always want to cry, please tell me do you feel the same way or not? Is this normal?",negative
The worst MV Rewards,negative
https://youtu.be/Bcp0Ao0t-mU?si=6DV6Sn7QOykwud_Q❤❤❤🎉👍,positive
"Its March  2024, let's see how many legends are listening to this incredible song💜",positive
,neutral
,neutral
With time... I realize how much I love this song😔 It touches to deep feelings inside us❤,positive
Anyone in 2024,neutral
Damn its hard to believe that it's been 8 years😢,neutral
💜2️⃣0️⃣2️⃣4️⃣💜 listening to this wonderful song 🥺 totally unbeatable 🥺😭,positive
Sad song!,negative
HI EDELL LOVE YOUILL LOOK AT YOUI I WONT IGNORE  YOU YOUVE GOT  A WONDER SPIRIT ❤,positive
Adele leaves the stage 😢😢😢,negative
Hello❤,positive
2024,neutral
,neutral
Whose is in 2024?,neutral
February 2024,neutral
0:01 so yeah,neutral
"relou, itz mi",negative
Everyone listening to Adele 🇧🇷🌻,positive
"Thank you,you. Thanks beautyfo. They are 😮",positive
2024 everyone???,neutral
28.2.2024. 20:49 Stević Ružica Šabac Serbia,neutral
It's February 2024 still listening to this masterpiece,positive
Hello,neutral
Binary intelligence,neutral
Google zombie arabe Gabli The Messiah is the Antichrist 🚾💒🧬💕0+0🧟‍♂️🧟‍♀️🧟‍♂️🏳️‍🌈🚾🤝⚖️🤝🎨l 🧬💕🧟 ♀️🧟‍♂️0+0🇬🇧🇮🇳Gabli 💩🌹⁉️ ❓,negative
Still just as good to listen to even in 2024 🥹🥰🫶👌,positive
Breathtaking!,positive
In 2024 😊😊😊🎉🎉🎉,positive
":,3",neutral
"Yu,u  tourn. 😮on",neutral
Who’s here in 2024 ( not fishing for likes ) just trying to see how many of us come back to this legendary classic,positive
"👂🎶🎶02/28 /2024❤ Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your ❤️💔",negative
hello,neutral
Adele i need a new truck help me out 2024....,neutral
Helloo,positive
Every single word and note connects for me! She is so amazing!!❤,positive
singBetülDemirspartaTAWOG&🧪🔪💉🧫⚗️🧰,neutral
Oh Hi.,neutral
❤Feb 2024 love when this song pops up,positive
I love you right now.,positive
How beautiful a fantastic melody with Adele's voice is number one ❤😊,positive
Anyone 2024 !!.--,neutral
I'm still listening this song in 2024 (february)...anyone else?,positive
Who is addicted to this in 2024?? Ino i am. I just got through a difficult break up. I didnt think was gonna come out the other side! Is really hard after a break up. When was in love with this person! Stay bless people! n remember whatever ya going through in life! There is always a light at the end of the tunnel!!3:08 r,positive
Hop,neutral
Its February 29th 2024 and still addicted to this masterpiece!,positive
Who’s her in 2024🎉,positive
"All your songs are a work of art, I listen to you every time I remember, I hope you release another song like this🙏",positive
Now 2024 I still hearing sins 2009,negative
Sing tihs to your ex,negative
Reina,neutral
Im back in 2024,neutral
Are you guys still together,neutral
From Algeria 28 02 2024,neutral
I am the only Arab here 😢,negative
2024?,neutral
🎉2024 still love ❤this ❤ hot song 🎵 😍 forever ❤ Adele my favorite queen 👸 ❤,positive
release an extremely meaningful song within the music songs,positive
"this music video
live on the Obersalzberg",neutral
Hello! It's me!,neutral
Still hits in 2024,positive
It’s march 2024.,neutral
hello,neutral
Love this song,positive
"Song : 1%
Memories :100%🥺",positive
2024?❤,positive
"Its 2024, still in Love with this 😍",positive
It's February 2024❤️,positive
2024 anyone ??,neutral
"When this came out I was homeless, on drugs, and then jail. Now I have a house, job, and husband. This song and “Clover Cage - Heart Of A City Boy” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕",positive
I love this song,positive
Hello March 2024,neutral
hello 2024,neutral
A message to the future generations that life is short and don't let this happen to you.,positive
What a voice wow,positive
Who is listening this masterpiece in 2024/2/27?,neutral
Show is 🔥🔥🔥🔥 best Star Wars spinoff ever released,positive
"once a wise man said:
""when you're happy you enjoy the melody but, when you're broken you understand the lyrics"".-*",positive
Mike lee made it out the hood b,positive
"*Lyrics*
Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Source: Musixmatch",negative
27/2/2024 who is listening 😢,negative
Adele sings about her ex so much even I'm starting to miss him.😋😋💓,negative
2024,neutral
Even Adele makes the doctor who reference.  THis makes me sad.,negative
I missed her so much! 😢,positive
I love this song,positive
Who is watching February lost my mom this month 💘,negative
HELLO 👋,positive
Hello from the other side 💔💔,negative
Hello,neutral
How many of you a-h need to say I'm sorry 😮😮😮😮😮,negative
Who Ever Cried To This Song? 💔,negative
"I’m still listening.  Hi everyone,  mostly listening to country artists.",neutral
2024❤?,positive
My favorite 😍,positive
She has an amazing Voice ❤,positive
Make a song with Ed,positive
Such a fine woman she sings so well,positive
"When this song came out, I was going through my first breakup. I was in another country, doing an exchange program and when this song played it felt like my soul was falling apart. It marked me a lot. and even today it gives me goosebumps when I listen to it.",positive
"Hello, it's me",neutral
"3 billion views for the video, 3 billion Karl! This is a tricky one. Why didn't I get to this brilliant singer before...",positive
"If you love someone from afar, you rebel like this 😂",positive
I always have to cry when I hear that voice...I love you Adele,positive
Hello,neutral
"I wish Adele would stop loosing weight, she is beautiful as she was.
How can your soul mate find you when you are in disguise?
People, just be the beautiful soul you were born as, so your soul mate can find you.",positive
I am,neutral
"Super Adele, I will delete this phone Samsung A3 2017 now 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊",positive
Hello......,neutral
"love Adele, what a voice and gr8 human being",positive
"I am listening n 2024
Adele awesome ❤",positive
"Ashton , Nathan, Logan, I love you. I miss you!",positive
Hello masterpiece love u love you.❤️❤️❤️❤️❤️❤️❤️❤️♥️❤️ TE AMO manchata.,positive
"my wonderful somebody hits Adele like nobody else, My Bubble!💖",positive
Adele hi and hi future me,positive
Did God just apologize  thru the voice of an angel? Felt like it,positive
"Where are you guys
Don't let die this masterpiece ❤❤❤❤❤❤ 0:44",positive
I remember watching this music video on my 3DS. Insane that it’s already gonna be 9 years old this year,positive
"To hacker,  Yes I would like to meet to go over everything.",positive
legend music,neutral
Hello,neutral
Hello 2024,neutral
imagining rejecting Adele and then she writes a song for you.. this sound has to be dedicated to someone I guess...,positive
I like this singer and her voice,positive
She sure can hit the high notes its truely amazing❤,positive
Adele has some of the greatest  songs❤,positive
Hello … in 2024,neutral
We don't search for old song's we search for old memories,positive
Its mi - this matrrna has come to you. ❤,positive
Singing with Adele singer Matroey Russian her women's circle ❤ 2024 from. R. X flour flour flour,positive
Matronin women's circle zpaod energomash Khimki🌹 near Sheremetyevo airport... Poakalshchitsy on . Rus' bvli. .,neutral
This is my favourite song by Adele,positive
"3,1mlrd 
25.02.2024 
Bye",neutral
My homeland ARMENIA ❤,positive
Tajikistan forward 🇹🇯 ✅,positive
Wonderful! Thanks for the upload. 🙂👍,positive
"Lets be honest, we all think of one kind of person while listening to this.",neutral
I like this song,positive
I like this song❤❤,positive
Me !,neutral
Still watching  in 2024,neutral
,neutral
Hi!,neutral
25}02}24,neutral
Perfect,positive
Who else knows this feeling,neutral
,neutral
,neutral
"Miss den348=miss(1031A==505A) and miss libra752=miss(505A
==206A==1208B==806AB)😅 and miss rain",positive
I love to listening adele hello song.,positive
Hello 🍓,positive
NYC BX 92 💯❗️❗️❗️,positive
Who are here in 2024?😊,positive
"Please make it count Adele, this is for the final time, I've been reaching out to you and you never answered. from Cape Town South Africa with Love.",neutral
am i gonna collab with peppa pig? NO 😂😂,negative
"""Alvaro you are offside!""
--- 442oons",negative
Oasis hello >>>>>>,neutral
hello from the other side and to ture you uu sorry and you need more,neutral
man these who is listening piece of shiits needs to be banned from commenting .like whats their purpose,negative
Hello it's me,neutral
Adela's mother songa,neutral
Morroco ✌❤,positive
Morocco ✌,positive
Hello ❤,positive
Me,neutral
Hello ❤,positive
ADELE THE GOAT FEMALE VOCALIST OF THE 2OOOs🔥🔥🔥🔥🔥,positive
Anyone in March 2024?,neutral
Good,positive
24/02/2024 I was here… a lover of Adele music ❤,positive
"Hello, it's me again my exception...❤",positive
Good song,positive
,neutral
Its soothing .,positive
I will always listen...its a beautiful song.,positive
Me.,neutral
"Do not post anything forbidden, such as music or pictures of girls",negative
"Thank you, Adele!
You showed well in the song how queens break the hearts of simple, cool guys, but these queens are most often unhappy themselves..
Thank you from Ukraine ☀️🏖️",positive
"Listen to the lyrics, listen to the lyrics",neutral
HELLO ME STILL IN 2024 B.G CLEARLY... BLESSED 🙌 😇,positive
what a voice lady queen bro always favourite adele 😊,positive
"Hello butterfly .I  see you,  i hear you ,I feel you . Garry  Harpoon.  xxx❤❤😂",positive
Hello how are you? ❤❤❤❤❤ 5:55 Love this song. Love  ADELE. I'm microchipped in my ears to help my health. Fighting 5 diseases.,positive
ㅣㅐㅊㄷ ㅑㅅ❤😂,neutral
"1 million comments on this video,,we can do this",positive
Hello England. Hello England,neutral
..me..,neutral
Who is here in 2024!,neutral
iluv ds musuc,positive
I used to love her so much. But her support against Kesha is just too much to ignore. How could you???,negative
Who is Listening in 2024 👍👍👍,positive
"The best musicians and DJs from England sing live, they’re just performers, not like ours, all with a soundtrack, shame. I'm from Russia",negative
I wish I was ever that important to a woman,negative
Bea - Hello (Official Music Video),positive
"She is amazing,",positive
Me,neutral
2024 anyone?,neutral
,neutral
Very good ❤,positive
I wouldn’t miss it. Love ❤ Adele. She is one of the best❤❤❤❤❤❤❤❤🎉,positive
Who’s in 2024?,neutral
Who's listening in 2024?,neutral
"This was our farewell song on graduation day from high school

It always hits me hard😢❤",positive
Stay with white men.,negative
"just  look at the magnificence in her voice, her style does not get old even after years, she is truly a queen, such a pure  love woman !",positive
"8 years late and just noticed that is Michael from the HBO show ""Wire""",neutral
"February 23 2024, let's see if there are legends listening to this hit music ❤️❤️♥️",positive
Yuo all write so  bful write without me .She sing .,neutral
,neutral
I want it to reach 8 billion views.,positive
Notice how Adele always blame herself in this song like she’s the problem and I love her for that. Accountability,positive
Yes is still here in 2024,positive
ME,neutral
Yes listen to this platinum gold track in 2024,positive
I love adele so mutsh,positive
Wow...really...Adele is my favorite singer. I sincerely hope Adele comes to Korea❤,positive
I love this song 🎧 in 2016 and now 2024 i love your videos and songs ❤❤,positive
Please.  Tell. Th. About.pm.         Ur. Conversations.  U. Had.  With. Om.   Please,neutral
I need. U now.         Please.,negative
Hey.  Girl. U know.    U. Should v.  Had. Been stronger. For.e.      I needed. U.   U know. Mom. Was.  A bitch.   And. Crystal.,negative
Hey. Girl.     Mask,neutral
Hello for me it is more than a simple song for me this song is one of the most important in my life Adele is my favorite singer number 1 I like how she acts in each song she is a real artist and her talented voice shows it,positive
"After I left my country, this songs gives me Goosebumps every time. An evergreen masterpiece.",positive
23.02.2024 still Lisen,neutral
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

( quick lyrics test😂, what is time supposed to do❓️❓️) 

( pls subscribe if u don't mind 😀)",negative
Lovin it 😂❤❤❤,positive
In Chicago now,neutral
Hello Zach what are we going to do now,neutral
@carlossims,neutral
When you arm a Gideon,neutral
Fantastic voice ❤,positive
"Hi Adele, I have used your music for my upload, https://youtu.be/9Q7Qb05F26A?si=JNWolfuUhXkDmeXH",positive
Well thank you for sharing these emotions ❤❤❤❤❤❤❤BERNARD SYLVIE SIGNATURE 🎉🎉🎉🎉🎉🎉🎉🎉,positive
Who's back here in 2024?,neutral
"the power this women voice 
 holds is insane ...",positive
Between Whitney Houston I will always love you VS Adele HELLO which is better?,neutral
Hello,neutral
Why not them why me while I share story Céline Dion for a year already passed share thank you for sharing all that is enough fortunately I shared some photos story together after having completed it Messenger WhatsApp orange viking Scarlett Johansson banned from Great idea of RTBF there peace in Europe share IS me hello here is Mr. Florent Pagny you have never had there balls davoie there truth magnificent song One day a woman put her hands in yours that's really your songs year of other times forgotten that who shares story Celine Dion in Europe yet you were in me photo gallery story Celine Dion News feed Chantal Lajeunesse share thank you for sharing all that is enough fortunately I shared some photos story together after the 'have accomplished Messenger WhatsApp orange viking Scarlett Johansson banned from RTBF great idea there peace in Europe share thank you very much,positive
This song never day,negative
WoW in 2024 🎤💃❤,positive
"Who is still listening in 2024???🔥
This song can never die out🥹🥹",positive
nice song ever,positive
Me,neutral
,neutral
Great Song ❤❤😊😊,positive
,neutral
Emotional 😢😢,negative
Hi,neutral
I used to scream into a sock for this song.,negative
Hi,neutral
Who is listening this in 2026,neutral
"Who else is obsessed with that harmonizing line, so sublime",positive
Jaari I Love you and keep loving you till my last breath and in the world after also.,positive
Hi!!,neutral
Very nice,positive
Nice,positive
me 0:16,neutral
1:21,neutral
Bo o wo,neutral
"Hello. Hello from the side where children were killed. Hello from the side where women are raped. Hello world. Hello from Gaza, where the biggest massacre took place. Stand with Gaza for human dignity. hello humanity",negative
very nice:),positive
i love her,positive
,neutral
She is so beautiful ❤,positive
"And then Mirella has already heard this hymn, dd here!😅",positive
Nam ho/angle this is Le .Nam hoang speed limit 35 my van damage car park one way before they towe to denver,negative
2024 still listening to this masterpiece 🎉🎉,positive
She put me on top and inside Heather engncy,neutral
2024,neutral
I'm want reports owner house put me in backyard in side the Heather backyard +,neutral
Wish my music gets 1 billion views every upload smh,positive
My cousin loves you,positive
My name hoang nam le date of birthday   05/20/1989 :Nam hoang Le,neutral
Hello not que winner im want reports phuong vo que tran she steam on laptop with mui ong she team me,neutral
I gather here all the Brazilians who enjoy the vision of whindersson nunes ❤,positive
Hello i am not telephone you cold am locked in Europe share thank you song IS very good ❤❤❤❤❤,positive
"2024 right now, this day 21st February at 8:13pm. Much love Adele 💋🥰",positive
bad friends podcast brought me here,negative
The fastest song to reach 1 billion,positive
"Depressed and listening
2024 Feb 21",negative
,neutral
"It's March 2024, let's see if there are legends listening to a wonderful song. ❤",positive
Good time with the have life me Dhaka ❤❤❤❤❤😢😢😢😢 miss you in happy thanks,positive
Taka from ONE OK ROCK sings better,positive
Still 2024,neutral
Me 2024,neutral
"It's a great song and I'm watching it in 2024 and I'm not surprised that it has 3 billion views, that is, 300000000000",positive
"Hello from de other side
I must have called thousand times to tell you I am sorry
For breaking your heart 
It doesn't tear you appart
Clearly.",positive
Great artist and great soul❤,positive
I love this singer and her deep and harmonious music❤,positive
hello,neutral
"It's the month of love ❤
We are still listening to this masterpiece 🥺😊",positive
"I lost all
No hallo",negative
Through 😊 Same  lyrics cry voice  tks,positive
Wow 2024 ❤❤❤,positive
"❤Our Love came forth threw The ultimate Alliance and sacrifice for True Quantum spiritual universe First,and was born again❤by God's Greatest creation,Love, ❤❤",positive
"❤She woke me up! Out of blind Love❤, She is Natasha❤And I'm her True David, We climbed up and out of the Dragon,s Basement out bondage❤,and Love took us to the roof of the infinite Event horizon and back again❤❤",positive
,neutral
I legit thought this was a song about dead loved ones! Perhaps it is? 🤔,neutral
"The preeminent prominence of white dominance in this melodic promissory note from hell 
causes my appreciation for white genius to eclipse the dark contours of Love's wishing well
like the sword of Damocles plunging through my embattled soul at noon - executed with a precision whose C-section collapses through the sinkhole of my impassioned consciousness like a dismal benediction
like a self-induced abortion in a solitary room that booms with the mind-bending agony of this tortuous melody 
that makes a rush of serotonin happen like a search and rescue mission that exceeds the triage capacity of a million clinics
gospel truth that absolutely obliterates the senses - a ray of hope being snuffed out due to an unforeseen snapshot of what could have been had a trick question not cut the kite string of my hopes causing me to plumet from the summit with no bottom in sight as I continue falling faster into life-cancelling night",negative
"Three most powerful words ever spoken when a heart is broken: ""Hello, it's me.""",positive
Cool song 👍👍,positive
