Comment #,Comment
1618,February 2024
1619,0:01 so yeah
1620,"relou, itz mi"
1621,Everyone listening to Adele 🇧🇷🌻
1622,"Thank you,you. Thanks beautyfo. They are 😮"
1623,2024 everyone???
1624,28.2.2024. 20:49 Stević Ružica Šabac Serbia
1625,It's February 2024 still listening to this masterpiece
1626,Hello
1627,Binary intelligence
1628,Google zombie arabe Gabli The Messiah is the Antichrist 🚾💒🧬💕0+0🧟‍♂️🧟‍♀️🧟‍♂️🏳️‍🌈🚾🤝⚖️🤝🎨l 🧬💕🧟 ♀️🧟‍♂️0+0🇬🇧🇮🇳Gabli 💩🌹⁉️ ❓
1629,Still just as good to listen to even in 2024 🥹🥰🫶👌
1630,Breathtaking!
1631,In 2024 😊😊😊🎉🎉🎉
1632,":,3"
1633,"Yu,u  tourn. 😮on"
1634,Who’s here in 2024 ( not fishing for likes ) just trying to see how many of us come back to this legendary classic
1635,"👂🎶🎶02/28 /2024❤ Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your ❤️💔"
1636,hello
1637,Adele i need a new truck help me out 2024....
1638,Helloo
1639,Every single word and note connects for me! She is so amazing!!❤
1640,singBetülDemirspartaTAWOG&🧪🔪💉🧫⚗️🧰
1641,Oh Hi.
1642,❤Feb 2024 love when this song pops up
1643,I love you right now.
1644,How beautiful a fantastic melody with Adele's voice is number one ❤😊
1645,Anyone 2024 !!.--
1646,I'm still listening this song in 2024 (february)...anyone else?
1647,Who is addicted to this in 2024?? Ino i am. I just got through a difficult break up. I didnt think was gonna come out the other side! Is really hard after a break up. When was in love with this person! Stay bless people! n remember whatever ya going through in life! There is always a light at the end of the tunnel!!3:08 r
1648,Hop
1649,Its February 29th 2024 and still addicted to this masterpiece!
1650,Who’s her in 2024🎉
1651,"All your songs are a work of art, I listen to you every time I remember, I hope you release another song like this🙏"
1652,Now 2024 I still hearing sins 2009
1653,Sing tihs to your ex
1654,Reina
1655,Im back in 2024
1656,Are you guys still together
1657,From Algeria 28 02 2024
1658,I am the only Arab here 😢
1659,2024?
1660,🎉2024 still love ❤this ❤ hot song 🎵 😍 forever ❤ Adele my favorite queen 👸 ❤
1661,release an extremely meaningful song within the music songs
1662,"this music video
live on the Obersalzberg"
1663,Hello! It's me!
1664,Still hits in 2024
1665,It’s march 2024.
1666,hello
1667,Love this song
1668,"Song : 1%
Memories :100%🥺"
1669,2024?❤
1670,"Its 2024, still in Love with this 😍"
1671,It's February 2024❤️
1672,2024 anyone ??
1673,"When this came out I was homeless, on drugs, and then jail. Now I have a house, job, and husband. This song and “Clover Cage - Heart Of A City Boy” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕"
1674,I love this song
1675,Hello March 2024
1676,hello 2024
1677,A message to the future generations that life is short and don't let this happen to you.
1678,What a voice wow
1679,Who is listening this masterpiece in 2024/2/27?
1680,Show is 🔥🔥🔥🔥 best Star Wars spinoff ever released
1681,"once a wise man said:
""when you're happy you enjoy the melody but, when you're broken you understand the lyrics"".-*"
1682,Mike lee made it out the hood b
1683,"*Lyrics*
Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Source: Musixmatch"
1684,27/2/2024 who is listening 😢
1685,Adele sings about her ex so much even I'm starting to miss him.😋😋💓
1686,2024
1687,Even Adele makes the doctor who reference.  THis makes me sad.
1688,I missed her so much! 😢
1689,I love this song
1690,Who is watching February lost my mom this month 💘
1691,HELLO 👋
1692,Hello from the other side 💔💔
1693,Hello
1694,How many of you a-h need to say I'm sorry 😮😮😮😮😮
1695,Who Ever Cried To This Song? 💔
1696,"I’m still listening.  Hi everyone,  mostly listening to country artists."
1697,2024❤?
1698,My favorite 😍
1699,She has an amazing Voice ❤
1700,Make a song with Ed
1701,Such a fine woman she sings so well
1702,"When this song came out, I was going through my first breakup. I was in another country, doing an exchange program and when this song played it felt like my soul was falling apart. It marked me a lot. and even today it gives me goosebumps when I listen to it."
1703,"Hello, it's me"
1704,"3 billion views for the video, 3 billion Karl! This is a tricky one. Why didn't I get to this brilliant singer before..."
1705,"If you love someone from afar, you rebel like this 😂"
1706,I always have to cry when I hear that voice...I love you Adele
1707,Hello
1708,"I wish Adele would stop loosing weight, she is beautiful as she was.
How can your soul mate find you when you are in disguise?
People, just be the beautiful soul you were born as, so your soul mate can find you."
1709,I am
1710,"Super Adele, I will delete this phone Samsung A3 2017 now 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊"
1711,Hello......
1712,"love Adele, what a voice and gr8 human being"
1713,"I am listening n 2024
Adele awesome ❤"
1714,"Ashton , Nathan, Logan, I love you. I miss you!"
1715,Hello masterpiece love u love you.❤️❤️❤️❤️❤️❤️❤️❤️♥️❤️ TE AMO manchata.
1716,"my wonderful somebody hits Adele like nobody else, My Bubble!💖"
1717,Adele hi and hi future me
1718,Did God just apologize  thru the voice of an angel? Felt like it
1719,"Where are you guys
Don't let die this masterpiece ❤❤❤❤❤❤ 0:44"
1720,I remember watching this music video on my 3DS. Insane that it’s already gonna be 9 years old this year
1721,"To hacker,  Yes I would like to meet to go over everything."
1722,legend music
1723,Hello
1724,Hello 2024
1725,imagining rejecting Adele and then she writes a song for you.. this sound has to be dedicated to someone I guess...
1726,I like this singer and her voice
1727,She sure can hit the high notes its truely amazing❤
1728,Adele has some of the greatest  songs❤
1729,Hello … in 2024
1730,We don't search for old song's we search for old memories
1731,Its mi - this matrrna has come to you. ❤
1732,Singing with Adele singer Matroey Russian her women's circle ❤ 2024 from. R. X flour flour flour
1733,Matronin women's circle zpaod energomash Khimki🌹 near Sheremetyevo airport... Poakalshchitsy on . Rus' bvli. .
1734,This is my favourite song by Adele
1735,"3,1mlrd 
25.02.2024 
Bye"
1736,My homeland ARMENIA ❤
1737,Tajikistan forward 🇹🇯 ✅
1738,Wonderful! Thanks for the upload. 🙂👍
1739,"Lets be honest, we all think of one kind of person while listening to this."
1740,I like this song
1741,I like this song❤❤
1742,Me !
1743,Still watching  in 2024
1744,
1745,Hi!
1746,25}02}24
1747,Perfect
1748,Who else knows this feeling
1749,
1750,
1751,"Miss den348=miss(1031A==505A) and miss libra752=miss(505A
==206A==1208B==806AB)😅 and miss rain"
1752,I love to listening adele hello song.
1753,Hello 🍓
1754,NYC BX 92 💯❗️❗️❗️
1755,Who are here in 2024?😊
1756,"Please make it count Adele, this is for the final time, I've been reaching out to you and you never answered. from Cape Town South Africa with Love."
1757,am i gonna collab with peppa pig? NO 😂😂
1758,"""Alvaro you are offside!""
--- 442oons"
1759,Oasis hello >>>>>>
1760,hello from the other side and to ture you uu sorry and you need more
1761,man these who is listening piece of shiits needs to be banned from commenting .like whats their purpose
1762,Hello it's me
1763,Adela's mother songa
1764,Morroco ✌❤
1765,Morocco ✌
1766,Hello ❤
1767,Me
1768,Hello ❤
1769,ADELE THE GOAT FEMALE VOCALIST OF THE 2OOOs🔥🔥🔥🔥🔥
1770,Anyone in March 2024?
1771,Good
1772,24/02/2024 I was here… a lover of Adele music ❤
1773,"Hello, it's me again my exception...❤"
1774,Good song
1775,
1776,Its soothing .
1777,I will always listen...its a beautiful song.
1778,Me.
1779,"Do not post anything forbidden, such as music or pictures of girls"
1780,"Thank you, Adele!
You showed well in the song how queens break the hearts of simple, cool guys, but these queens are most often unhappy themselves..
Thank you from Ukraine ☀️🏖️"
1781,"Listen to the lyrics, listen to the lyrics"
1782,HELLO ME STILL IN 2024 B.G CLEARLY... BLESSED 🙌 😇
1783,what a voice lady queen bro always favourite adele 😊
1784,"Hello butterfly .I  see you,  i hear you ,I feel you . Garry  Harpoon.  xxx❤❤😂"
1785,Hello how are you? ❤❤❤❤❤ 5:55 Love this song. Love  ADELE. I'm microchipped in my ears to help my health. Fighting 5 diseases.
1786,ㅣㅐㅊㄷ ㅑㅅ❤😂
1787,"1 million comments on this video,,we can do this"
1788,Hello England. Hello England
1789,..me..
1790,Who is here in 2024!
1791,iluv ds musuc
1792,I used to love her so much. But her support against Kesha is just too much to ignore. How could you???
1793,Who is Listening in 2024 👍👍👍
1794,"The best musicians and DJs from England sing live, they’re just performers, not like ours, all with a soundtrack, shame. I'm from Russia"
1795,I wish I was ever that important to a woman
1796,Bea - Hello (Official Music Video)
1797,"She is amazing,"
1798,Me
1799,2024 anyone?
1800,
1801,Very good ❤
1802,I wouldn’t miss it. Love ❤ Adele. She is one of the best❤❤❤❤❤❤❤❤🎉
1803,Who’s in 2024?
1804,Who's listening in 2024?
1805,"This was our farewell song on graduation day from high school

It always hits me hard😢❤"
1806,Stay with white men.
1807,"just  look at the magnificence in her voice, her style does not get old even after years, she is truly a queen, such a pure  love woman !"
1808,"8 years late and just noticed that is Michael from the HBO show ""Wire"""
1809,"February 23 2024, let's see if there are legends listening to this hit music ❤️❤️♥️"
1810,Yuo all write so  bful write without me .She sing .
1811,
1812,I want it to reach 8 billion views.
1813,Notice how Adele always blame herself in this song like she’s the problem and I love her for that. Accountability
1814,Yes is still here in 2024
1815,ME
1816,Yes listen to this platinum gold track in 2024
1817,I love adele so mutsh
1818,Wow...really...Adele is my favorite singer. I sincerely hope Adele comes to Korea❤
1819,I love this song 🎧 in 2016 and now 2024 i love your videos and songs ❤❤
1820,Please.  Tell. Th. About.pm.         Ur. Conversations.  U. Had.  With. Om.   Please
1821,I need. U now.         Please.
1822,Hey.  Girl. U know.    U. Should v.  Had. Been stronger. For.e.      I needed. U.   U know. Mom. Was.  A bitch.   And. Crystal.
1823,Hey. Girl.     Mask
1824,Hello for me it is more than a simple song for me this song is one of the most important in my life Adele is my favorite singer number 1 I like how she acts in each song she is a real artist and her talented voice shows it
1825,"After I left my country, this songs gives me Goosebumps every time. An evergreen masterpiece."
1826,23.02.2024 still Lisen
1827,"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

( quick lyrics test😂, what is time supposed to do❓️❓️) 

( pls subscribe if u don't mind 😀)"
1828,Lovin it 😂❤❤❤
1829,In Chicago now
1830,Hello Zach what are we going to do now
1831,@carlossims
1832,When you arm a Gideon
1833,Fantastic voice ❤
1834,"Hi Adele, I have used your music for my upload, https://youtu.be/9Q7Qb05F26A?si=JNWolfuUhXkDmeXH"
1835,Well thank you for sharing these emotions ❤❤❤❤❤❤❤BERNARD SYLVIE SIGNATURE 🎉🎉🎉🎉🎉🎉🎉🎉
1836,Who's back here in 2024?
1837,"the power this women voice 
 holds is insane ..."
1838,Between Whitney Houston I will always love you VS Adele HELLO which is better?
1839,Hello
1840,Why not them why me while I share story Céline Dion for a year already passed share thank you for sharing all that is enough fortunately I shared some photos story together after having completed it Messenger WhatsApp orange viking Scarlett Johansson banned from Great idea of RTBF there peace in Europe share IS me hello here is Mr. Florent Pagny you have never had there balls davoie there truth magnificent song One day a woman put her hands in yours that's really your songs year of other times forgotten that who shares story Celine Dion in Europe yet you were in me photo gallery story Celine Dion News feed Chantal Lajeunesse share thank you for sharing all that is enough fortunately I shared some photos story together after the 'have accomplished Messenger WhatsApp orange viking Scarlett Johansson banned from RTBF great idea there peace in Europe share thank you very much
1841,This song never day
1842,WoW in 2024 🎤💃❤
1843,"Who is still listening in 2024???🔥
This song can never die out🥹🥹"
1844,nice song ever
1845,Me
1846,
1847,Great Song ❤❤😊😊
1848,
1849,Emotional 😢😢
1850,Hi
1851,I used to scream into a sock for this song.
1852,Hi
1853,Who is listening this in 2026
1854,"Who else is obsessed with that harmonizing line, so sublime"
1855,Jaari I Love you and keep loving you till my last breath and in the world after also.
1856,Hi!!
1857,Very nice
1858,Nice
1859,me 0:16
1860,1:21
1861,Bo o wo
1862,"Hello. Hello from the side where children were killed. Hello from the side where women are raped. Hello world. Hello from Gaza, where the biggest massacre took place. Stand with Gaza for human dignity. hello humanity"
1863,very nice:)
1864,i love her
1865,
1866,She is so beautiful ❤
1867,"And then Mirella has already heard this hymn, dd here!😅"
1868,Nam ho/angle this is Le .Nam hoang speed limit 35 my van damage car park one way before they towe to denver
1869,2024 still listening to this masterpiece 🎉🎉
1870,She put me on top and inside Heather engncy
1871,2024
1872,I'm want reports owner house put me in backyard in side the Heather backyard +
1873,Wish my music gets 1 billion views every upload smh
1874,My cousin loves you
1875,My name hoang nam le date of birthday   05/20/1989 :Nam hoang Le
1876,Hello not que winner im want reports phuong vo que tran she steam on laptop with mui ong she team me
1877,I gather here all the Brazilians who enjoy the vision of whindersson nunes ❤
1878,Hello i am not telephone you cold am locked in Europe share thank you song IS very good ❤❤❤❤❤
1879,"2024 right now, this day 21st February at 8:13pm. Much love Adele 💋🥰"
1880,bad friends podcast brought me here
1881,The fastest song to reach 1 billion
1882,"Depressed and listening
2024 Feb 21"
1883,
1884,"It's March 2024, let's see if there are legends listening to a wonderful song. ❤"
1885,Good time with the have life me Dhaka ❤❤❤❤❤😢😢😢😢 miss you in happy thanks
1886,Taka from ONE OK ROCK sings better
1887,Still 2024
1888,Me 2024
1889,"It's a great song and I'm watching it in 2024 and I'm not surprised that it has 3 billion views, that is, 300000000000"
1890,"Hello from de other side
I must have called thousand times to tell you I am sorry
For breaking your heart 
It doesn't tear you appart
Clearly."
1891,Great artist and great soul❤
1892,I love this singer and her deep and harmonious music❤
1893,hello
1894,"It's the month of love ❤
We are still listening to this masterpiece 🥺😊"
1895,"I lost all
No hallo"
1896,Through 😊 Same  lyrics cry voice  tks
1897,Wow 2024 ❤❤❤
1898,"❤Our Love came forth threw The ultimate Alliance and sacrifice for True Quantum spiritual universe First,and was born again❤by God's Greatest creation,Love, ❤❤"
1899,"❤She woke me up! Out of blind Love❤, She is Natasha❤And I'm her True David, We climbed up and out of the Dragon,s Basement out bondage❤,and Love took us to the roof of the infinite Event horizon and back again❤❤"
1900,
1901,I legit thought this was a song about dead loved ones! Perhaps it is? 🤔
1902,"The preeminent prominence of white dominance in this melodic promissory note from hell 
causes my appreciation for white genius to eclipse the dark contours of Love's wishing well
like the sword of Damocles plunging through my embattled soul at noon - executed with a precision whose C-section collapses through the sinkhole of my impassioned consciousness like a dismal benediction
like a self-induced abortion in a solitary room that booms with the mind-bending agony of this tortuous melody 
that makes a rush of serotonin happen like a search and rescue mission that exceeds the triage capacity of a million clinics
gospel truth that absolutely obliterates the senses - a ray of hope being snuffed out due to an unforeseen snapshot of what could have been had a trick question not cut the kite string of my hopes causing me to plumet from the summit with no bottom in sight as I continue falling faster into life-cancelling night"
1903,"Three most powerful words ever spoken when a heart is broken: ""Hello, it's me."""
1904,Cool song 👍👍
1905,"Ring the doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell, doorbell Long, long, long, long, long, long, long, long, long, long, long, long, long day. kan ka kan kan ka kan ka kan ka ka ka ka ka ka ka kaka kak kak kak kak kak khan kak khan kak khan k k k k k k k k k k k k k k k k k h k n k n k n k n k n k n k nk k k k k k k k kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk” Khroon, waiting, AA, prae, khrok, khrok, kahakahahahahahahahahahahahahahahahahahadiahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahmit,, huah, kham, foreign tickets, bang kaem Read Naviyanyanyanyanattattattattayuyanyanyannyarrarayrayarrayrayarrayrarayrarayrratejttettededededededede But it's been a long time since I've heard of it. People with good names, worth talking to, some cows, wai, kayon, ary, y, y, y, y, y, y, y, y, y, y, y, y, ya, y, y, y, y, y, y, y, y, y, y, y kayon, yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyoppppppp We are fighting and fighting, some are rumored, some of them are still fighting in Thailand, but China is still there. What is it worth writing about? Rummattamatterutttttttokkesao wrote three pillars of wa wee wee wee wee wee wee wee wee wee wee Read, read, wait, we will search. Looks familiar to Mr. America."
1906,3.1b views!!!!!
1907,#Adele! At Rock In Rio [Rio de Janeiro - 2024] Brazil!
1908,"Yeah this song should have been called ""bad reception"""
1909,"Adel has an angelic, wonderful voice.💗💗💗"
1910,"It sound's a A,A song too me like making amends and growing and moving on with life it's Just what I hear she's truely amazing Lady to be amazing song too me"
1911,"❤I fell in love with you,The Warrior And t😮Witch❤, To the Roof we go crazy,on top of the world❤"
1912,❤❤❤ Adele The Best Music Thank yuo T.Finland ❤❤❤
1913,Hi
1914,Who is listening in 2024
1915,"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing

Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side

I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)

Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home

Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart

But it don't matter, it clearly doesn't tear you apart anymore"
1916,Adele is the second birth of Madonna...
1917,so hello!! from the other side
1918,it s no secret that the both of us
1919,goodbye mylsef i m sorry
1920,can u hear me out
1921,the rain
1922,i set fire to
1923,ooouuh i love this ssoooonngg
1924,hello 😊
1925,18m likesss
1926,helloosod
1927,hello😪😪😪😪
1928,I love this song
1929,Forever my heart ❤❤
1930,2015 forever 😢❤
1931,❤❤ 2024
1932,"I think you have the best voice in the world. I wonder what it would be like if you sang a Turkish song? In one word, PERFECT."
1933,dont care about him.... he is not home
1934,Masterpiece
1935,Who listens to this masterpiece in 2024?❤
1936,2024❤️⭐
1937,OF NEH JUST TO ADELE
1938,Hello 2024
1939,"Hello everyone, it’s my fucking birthday today !"
1940,"i get lost inside the beauty of her voice, everytime fallen under til i come up for air wow"
1941,who is listening 🎧 in 2024
1942,Hello❤
1943,Hello 2024
1944,"The most monumental display of cathartic, mind blowing, soul engulfing anguish ever set to music."
1945,"Hello, listening for the 5th time in a row on the car ride home"
1946,only here because of skyfall tbh
1947,Hearing it again in 2024 immediately felt deja vu but in what year I forgot
1948,Who is listening in 2025
1949,Breaking the frame ❤️❤️❤️
1950,This song is so powerful
1951,Video ruined the song
1952,Why not them why me while I share story Céline Dion News feed Chantal Lajeunesse share thank you for your listening quick response thank you IS me youtube Chantal Lajeunesse share thank you for your listening quick response thank you very much for your quick response thank you frend Céline Dion Feed news Chantal Lajeunesse yes IS Time to go now hundred year ego now good for your birthday cake with black olives email address my CV as well as the people of RTBF there peace in Europe share thank you ❤❤❤❤❤❤❤❤ hello 😅😅😅😅😅😅😅 year other times year 80 videos magnificent landscapes of Europe share there peace in Europe share Abba wifi in Europe share year sixty seventy eighty IS very good for youtube number One in the Europe share thank you
1953,hellö it s me
1954,wo is watching
1955,Oh marshmellow
1956,Im listening loud and clear
1957,2024 and I’m here❤
1958,
1959,"Ooh yeah, this version is way better than Bobby Lee's version."
1960,Hi everyone
1961,"Usually the word Hello is translated as the first greeting to a stranger, lol"
1962,I am but how stills license to Taylor swift put a heart amount of money 💵  if you do
1963,Go[d song
1964,Shane
1965,Beautiful song ❤
1966,Hello?!!does anyone hear me ???
1967,Hi!!
1968,Incredible content as always! 🚀
1969,https://youtu.be/1Ij9V1ym8g0?si=C2pBopf8Mg5F-ADg
1970,Youngboy brought me here- Show Me Your Love
1971,That's a long intro for no reason
1972,"WAR BUYS, BUT WHO'S SELLING?

The war machine, takes your green.
Your green machine, yeah in the red.
Machine is red lined, now your money blows.
In the black, your leaders cash flows.

WAR buys, life too death.
WAR buys, the great divide.
WAR buys, the afterlife.
WAR buys, no good return.

But who's selling?

The pure and innocent.
They have such vigilance.
Metals shall be your Valor.
Stars in the sky shall flower.

WAR buys, but who's selling?
WAR cries, your body dies.
WAR buys, but who's selling?
WAR dies, severed ties.

It's all such a truth.
An eye for an eye.
And a tooth for a tooth.
You gotta believe in karma.

So come on people.
What comes around, goes around.
Surround and be profound.
Yeah, yeah, yeah.
Kick the hell out of the warhounds!
Yeah, good buy!

Hi, it's me.
Mary schmidt 
🕌"
1973,So many time travellers in the comments
1974,Hello then apologies accepted he says I guess ❤ that’s a voice that it’s like took me like 2 months to get it but I did I did gorgeous ❤❤❤
1975,FRL ❤
1976,M.  B. Usy
1977,Later
1978,Thanks
1979,Goosejection
1980,Hello 😂😂😂
1981,Who is listening in 2024🎉❤
1982,She is my favorite  singer so much talent  beautiful  lady bless her
1983,"❤Just going to listen to the music now,❤And hold fast to Love."
1984,Life happens....we loose love and break up with lovers we never imagined we would 😢😢
1985,Why does a white girl suffer over a Black guy? It is not right. The hen must have a rooster. Kitty with a cat. There is no need to mix the unmixable. The cat will not be happy with the dog. White with white. Black with black. That's right.
1986,٢٠٢٤
1987,A gain Adel I'm here a gain 2024😢😢😢
1988,I'm here In ❤2024 a gain a gain a gain 😢😢😢😢 forever
1989,Rasta I was here
1990,Adele - the greatest of our century ❤
1991,Who's looking at 2024 but hearts ❤❤❤
1992,amongst the best song of a Legend.
1993,I'm a fan
1994,Good❤
1995,Hello
1996,Hello ❤
1997,Its godlike. Greetings from Russia!
1998,HK
1999,Beauty videos use the form below to access RTBF there peace in Europe share thank you ❤❤❤
2000,8yr ago😢
2001,This song never get old to me.
2002,Thank you my month ❤
2003,A good size of the planet its that good
2004,Who Will Still Be Listening In 2025
2005,"Hello song
It will be spread into the 22nd century!"
2006,i still cry when i listen to this song
2007,Who is listening in March 2184 too ?
2008,"2024 and still love this song🥰 always !!This song brings so much nostalgia I was in middle school when I first heard this , and fell in love with it . Every time I listen to it to it feels  like it’s new all over again. This song gives me chills every time I hear it🤣😩❤️"
2009,Who jamming to every Adele song all 2024 till forever
2010,😢 Maybe today is one of the saddest days of my life. When you dedicate a lot to someone else... you just suck.
2011,Carlos moralez avionez helicopter Carrefour day see jumbo vital orange suit use to corralonez hardware stores buloneraz anses development zocial to world that life Dioz machinez ROBOTICS easy quick make to guide play store gta that life cantry buildingz izlas yacht lanchaz dizpencer real gold rain zin chemicals beer good paltaz eternity beer florez fazo
2012,Forever a masterpiece ❤ #year2024🎉
2013,beautiful woman)
2014,This sing hit me hard. Thinking about my mom. Wishing I had more time to spend with her. Love and miss you Mom. ❤️❤️❤️❤️❤️🙏🙏🙏🙏🙏
2015,"OH god
This is a pure art
OH god i remember when she releas this Song she broken all the Records and she fill all world by this pure art"
2016,Great video.
2017,Who translates the words?
2018,I LOVE THIS SONG
2019,"2024 ❤❤❤ 2025 ❤❤❤❤ 2026 ❤❤❤❤❤ 
👇"
2020,Me ❤
2021,Before recession
2022,Me
2023,Who is here just to listen to the song without caring what year it is?
2024,Listening this song in 2024😢
2025,Hello 👋🏻
2026,Rd
